idx,i_test,signal,prob,regime,atr,stop_pct,tp_pct,position_value,profit,cost,capital_after,ev
74,74,short,0.15128355783598288,0,0.008021428571428593,0.007248715499212536,0.02174614649763761,31.368619,0.532921,0.043916,63.226242,2.394866
75,75,short,0.1302101065414292,0,0.007914285714285747,0.007164194545384038,0.021492583636152113,31.613121,0.492211,0.044258,63.674195,2.47916
76,76,short,0.3659191338583114,0,0.0076428571428571734,0.006965592576631312,0.020896777729893935,31.837097,0.261143,0.044572,63.890766,1.536323
77,77,long,0.5586982954226513,0,0.00765714285714287,0.007021036912839602,0.021063110738518805,31.945383,-3.194538,0.044724,60.651504,1.234793
78,78,long,0.6043981464488292,0,0.007678571428571439,0.0070470823767875106,0.02114124713036253,30.325752,-0.020039,0.042456,60.589009,1.417593
82,82,short,0.406124625254176,-1,0.007771428571428572,0.007177822639169273,0.02153346791750782,30.294505,0.109124,0.042412,60.655721,1.375501
83,83,short,0.3952269373068606,-1,0.0075785714285714345,0.006959905434498833,0.0208797163034965,30.32786,0.106673,0.042459,60.719935,1.419092
103,103,short,0.37878447569161916,-1,0.0072571428571428665,0.006902886711127788,0.020708660133383364,30.359968,0.149299,0.042504,60.82673,1.484862
112,112,long,0.767917023437069,0,0.007757142857142875,0.007228049624620644,0.02168414887386193,30.413365,-0.001984,0.042579,60.782168,2.071668
113,113,long,0.8507898032664163,0,0.007378571428571441,0.006909745215687073,0.02072923564706122,30.391084,-0.075704,0.042548,60.663917,2.403159
114,114,long,0.7650892603230427,0,0.0073071428571428775,0.006810011982425795,0.020430035947277384,30.331958,0.048339,0.042465,60.669791,2.060357
115,115,long,0.8007856528145637,0,0.007464285714285733,0.006955361885149355,0.020866085655448063,30.334895,-0.035899,0.042469,60.591423,2.203143
116,116,long,0.8827144570522757,0,0.007764285714285731,0.007204496348042805,0.021613489044128416,30.295712,-3.029571,0.042414,57.519438,2.530858
117,117,long,0.9105694927486496,0,0.007214285714285729,0.006722657752821866,0.0201679732584656,28.759719,-0.07102,0.040264,57.408155,2.642278
118,118,long,0.9090618755790509,0,0.007514285714285743,0.00705440880433138,0.02116322641299414,28.704077,0.172463,0.040186,57.540432,2.636248
119,119,long,0.7833029119550639,0,0.007271428571428595,0.006765944832958282,0.020297834498874845,28.770216,-2.877022,0.040278,54.623133,2.133212
120,120,long,0.8876463203130442,0,0.007271428571428595,0.006783681846654161,0.020351045539962483,27.311566,-2.731157,0.038236,51.85374,2.550585
121,121,long,0.9187054057169415,0,0.007114285714285724,0.00665259558096664,0.01995778674289992,25.92687,-2.592687,0.036298,49.224755,2.674822
122,122,long,0.9052543760850031,0,0.00727142857142858,0.00679268045309448,0.02037804135928344,24.612378,-2.461238,0.034457,46.72906,2.621018
123,123,long,0.8358742599109658,0,0.007164285714285734,0.006685659360656346,0.02005697808196904,23.36453,-2.336453,0.03271,44.359897,2.343497
124,124,long,0.5820405768665448,0,0.007107142857142883,0.006694052855434048,0.020082158566302143,22.179948,-0.131821,0.031052,44.197024,1.328162
125,125,long,0.6132214353360728,0,0.007135714285714309,0.006786223761972713,0.020358671285918138,22.098512,-0.035728,0.030938,44.130359,1.452886
127,127,short,0.42899880566976345,-1,0.007164285714285734,0.006880995144199059,0.020642985432597176,22.065179,-2.206518,0.030891,41.892949,1.284005
128,128,short,0.44126715911661074,-1,0.007071428571428585,0.006770091786032288,0.020310275358096864,20.946475,-2.094647,0.029325,39.768977,1.234931
131,131,long,0.7486204087763905,0,0.006728571428571449,0.006401030688253517,0.01920309206476055,19.884488,0.134875,0.027838,39.876013,1.994482
132,132,long,0.5677837609688376,0,0.006571428571428577,0.006238480848541897,0.01871544254562569,19.938007,-0.024417,0.027913,39.823683,1.271135
159,159,long,0.8813460709174858,0,0.007007142857142863,0.0068733193297918155,0.020619957989375447,19.911842,0.097658,0.027877,39.893464,2.525384
160,160,long,0.8119293230972655,0,0.0070857142857142985,0.006929929471201684,0.020789788413605053,19.946732,-0.085446,0.027925,39.780093,2.247717
161,161,long,0.8126021544245753,0,0.006878571428571448,0.006705110226998984,0.020115330680996954,19.890047,-0.127382,0.027846,39.624865,2.250409
162,162,long,0.857261579292302,0,0.007057142857142873,0.00694429801440873,0.02083289404322619,19.812432,0.099818,0.027737,39.696945,2.429046
163,163,long,0.8488910036250055,0,0.006442857142857147,0.006335720115700649,0.019007160347101947,19.848473,0.250812,0.027788,39.919969,2.395564
